,Barcode,Product name,Brand,Quantity,Packaging material,Origin,Label,Sale countries,Product group,Food group,Product main category,Environmental score,Environmental score grade,Carbon footprint 1kg,Sustainable footprint score
0,16229916411,"Foco, 100% pure coconut water with mango","Foco,Thai-agri-foods-co-ltd",500 ml,Packaging unknown,Origin unknown,No information available,"Finland,United States",Unsweetened beverages,"Beverages,Unsweetened beverages",Coconut waters,No information available,No information available,0.55,94.8
1,640295013004,Paprika original Chips,Zweifel,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,World",Appetizers,"Salty snacks,Appetizers",Crisps,No information available,No information available,2.1,79.2
2,644504010013,Toblerone,Brand name unknown,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France,United Kingdom",Chocolate products,"Sugary snacks,Chocolate products",Chocolates,No information available,unknown,2.95,70.7
3,20043032,Easter Egg Mix,Fresh-easy,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,United States",Chocolate products,"Composite foods,One-dish meals",Soups,No information available,No information available,2.95,70.7
4,20246297,Butter Fudge toffee,hatherwood,150 g,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweets,"Sugary snacks,Sweets",Salted butter caramels,No information available,unknown,2.95,70.7
5,20575557,Medium egg noodles,Combino,250 g,Packaging unknown,Origin unknown,No information available,"Finland,France,United Kingdom",Cereals,"Cereals and potatoes,Cereals",Egg noodles,No information available,unknown,2.65,73.7
6,20683191,Cookie brownie,Mcennedy,8 x 30 g,Packaging unknown,Origin unknown,No information available,"Finland,France,Spain",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Biscuits and cakes,No information available,unknown,2.5,75.2
7,20886561,Sweet liquorice lakritsijäätelö,Lidl,68 g,Packaging unknown,Origin unknown,No information available,"Finland,Norway",Ice cream,"Milk and dairy products,Ice cream",fi:lakritsijäätelöpuikot,No information available,No information available,2.6,74.2
8,2244898002793,AH Vloerbrood meergranen,Albert Heijn,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Netherlands",Bread,"Cereals and potatoes,Bread",Breads,No information available,No information available,2.5,75.2
9,2244899002693,AH Vloerbrood Meergranen HL,Albert Heijn,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Netherlands",Bread,"Cereals and potatoes,Bread",Breads,No information available,No information available,2.5,75.2
10,2396295302997,Biff av Nöt innerfile,Snellman,299 g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Beef,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",Beef,No information available,No information available,43.33,0.0
11,3662317005108,Pate de wasabi,Brand name unknown,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Dressings and sauces,"Fats and sauces,Dressings and sauces",Wasabi pastes,No information available,unknown,4.607,54.1
12,4002971277005,High protein banana & choc topping flavour,Ehrmann,200 g,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Protein snacks and drinks,"Milk and dairy products,Dairy desserts",Chocolate desserts,No information available,unknown,2.05,79.8
13,4011800420611,Peanut sweet & salty,Corny,6 x 25 g,Packaging unknown,Origin unknown,No information available,"Denmark,Finland",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Peanut bars,No information available,unknown,2.5,75.2
14,4056489133032,Spaghetti sans gluten,Combino,500 g,Packaging unknown,Origin unknown,No information available,"Belgium,Finland,Germany",Cereals,"Cereals and potatoes,Cereals",Gluten-free pasta,No information available,unknown,2.65,73.7
15,4056489450061,Tagliatelle,Combino,500 g,Packaging unknown,Origin unknown,No information available,"Belgium,Finland",Cereals,"Cereals and potatoes,Cereals",Tagliatelle,No information available,No information available,2.65,73.7
16,4056489532774,Tortilla chips sweet chili,Snack-day,450 g,Packaging unknown,Origin unknown,No information available,"Finland,Netherlands",Appetizers,"Salty snacks,Appetizers",Corn chips,No information available,No information available,2.1,79.2
17,4056489955146,Gyoza,"Lidl,Vitasia",400g,Packaging unknown,Origin unknown,No information available,"Finland,Germany",One-dish meals,"Composite foods,One-dish meals",Japanese ravioli,No information available,unknown,2.95,70.7
18,4100290024758,Caramel Macchiato,Starbucks,750 ml,Packaging unknown,Origin unknown,No information available,"Finland,United Kingdom",Teas and herbal teas and coffee,"Beverages,Sweetened beverages",Cappuccino,No information available,unknown,0.55,94.8
19,4100290035969,White chocolate mocha flavour,"Starbucks,Arla",750 ml,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Milk and yogurt,"Beverages,Sweetened beverages",Dairy drinks,No information available,unknown,0.55,94.8
20,4260283681402,Oat energy bar,oat-king,95 g,Packaging unknown,Origin unknown,No information available,"Finland,France",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",fi:hiutale,No information available,unknown,2.5,75.2
21,4712308172216,Pineapple cake,liroy,250g,Packaging unknown,Origin unknown,No information available,"Denmark,Finland,France,Germany,Italy,Japan,Netherlands,Norway,Spain,Sweden",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Cakes,No information available,unknown,2.5,75.2
22,4714221131219,Japanese Style Taro Mochi,bamboo-house,210g,Packaging unknown,Origin unknown,No information available,"Croatia,Czech Republic,Denmark,Finland,France,Germany,Hungary,Italy,Netherlands,Spain,Sweden",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Mochi,No information available,unknown,2.5,75.2
23,4740113034276,Koorene joghurt mustikatega,Farmi,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Estonia,Finland",Yogurt,"Milk and dairy products,Milk and yogurt",Yogurts,No information available,No information available,1.05,89.8
24,4740113034283,Koorene joghurt mustade kirssidega,Farmi,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Estonia,Finland",Yogurt,"Milk and dairy products,Milk and yogurt",Fruit yogurts,No information available,No information available,1.05,89.8
25,4740376022706,Skinka-Ananaspizza,Chef-lunden,420 g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Pizza pies and quiches,"Composite foods,Pizza pies and quiches",Pizzas,No information available,No information available,2.95,70.7
26,4902102149655,Fanta pomme,fanta,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,not-applicable,0.55,94.8
27,5000159556804,Twix White,Twix,46g,Packaging unknown,Origin unknown,No information available,"Finland,Poland",Chocolate products,"Sugary snacks,Biscuits and cakes",Bars,No information available,unknown,2.5,75.2
28,5010265000405,"Ryvita Rug Knekkebrød, 400 g",Jensen-co-as,400 g,Packaging unknown,Origin unknown,No information available,"Finland,Norway",Bread,"Cereals and potatoes,Bread",Rye breads,No information available,No information available,2.5,75.2
29,5034660518471,Cadbury double decker chocolate bar,"Cadbury-s,Cadbury",80 g,Packaging unknown,Origin unknown,No information available,"Finland,United States",Sweets,"Sugary snacks,Sweets",Confectioneries,No information available,No information available,2.95,70.7
30,50357086,Pastillas Fisherman's friend,Fisherman-s-friend,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Spain",Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
31,5060122036849,Snickers shake,Mars,350ml,Packaging unknown,Origin unknown,No information available,"Finland,France",Milk and yogurt,"Beverages,Artificially sweetened beverages",Sweetened beverages,No information available,unknown,0.55,94.8
32,5060221208789,Grenade Chocolate Chip Salted Caramel Flavour,Grenade,60 g,Packaging unknown,Origin unknown,No information available,"Belgium,Finland",Protein snacks and drinks,"Sugary snacks,Biscuits and cakes",Protein bars,No information available,unknown,2.5,75.2
33,5694230257645,Krunchy Keto,Goodgood,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Iceland",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Bodybuilding supplements,No information available,No information available,2.5,75.2
34,5906013002091,Obiadowa sałatka warzywna,Orzech,670 g,Packaging unknown,Origin unknown,No information available,"Finland,Poland",One-dish meals,"Composite foods,One-dish meals",Vegetable salads,No information available,unknown,2.95,70.7
35,5908243701676,Lindor,lindt,100 g,Packaging unknown,Origin unknown,No information available,"Finland,Poland",Sweets,"Sugary snacks,Sweets",Bonbons,No information available,unknown,2.95,70.7
