code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
301762042,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
2045652893,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
3017620422,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
490000030464,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
11702334,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
11777016,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
18781128,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
20411626,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
20787653,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
20886684,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
21953378,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
2378111512001,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
2400617787048,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
2446454016866,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4006814071546,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4056489062127,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4056489245513,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4601713006530,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4627087990640,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4740042700013,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4740098001294,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4740098094661,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4740098095491,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4742231002441,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4750020040420,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4751009820781,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4770082310675,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4770301231279,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4770301235659,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4902401507279,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4970694281879,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
4975046768183,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5006949726006,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5028197278359,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5201350151588,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5410233710808,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5706911021466,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5741000004708,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5900437036120,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5900552076957,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
5901088009693,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6132505060082,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6210316271061,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6224008545514,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6400001111264,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6403011101102,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6405096000813,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6405096002565,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6405244327007,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6405904880002,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6405919001003,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406170037459,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406300014237,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406300014411,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406300014428,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406300050051,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510043386,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510096412,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510096481,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510304012,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510304029,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510304036,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510304647,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510304715,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510305170,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510700494,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6406510944447,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6408110008116,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6408430049226,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6408430400508,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6409100046453,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6409100678005,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6409400016668,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6409538430602,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6409720000194,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6409770019405,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6409770024102,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
6410405069023,"","","","","","","","Finland","unknown","unknown","unknown","",,"","","",""
