code;new_category (pnns_groups_2)
4,05649E+12;Processed meat
20887070;Processed meat
20887124;Processed meat
4,05649E+12;Processed meat
6,41635E+12;Processed meat
20887285;Processed meat
6,40569E+12;Processed meat
6,40569E+12;Processed meat
6,40982E+12;Processed meat
6,41041E+12;Processed meat
6,41489E+12;Processed meat
6,41635E+12;Processed meat
6,40781E+12;Processed meat
6,40781E+12;Processed meat
6,40783E+12;Processed meat
6,40783E+12;Processed meat
6,41041E+12;Processed meat
6,41974E+12;Processed meat
4,05649E+12;Processed meat
6,4091E+12;Processed meat
6,412E+12;Processed meat
6,40787E+12;Processed meat
6,41041E+12;Processed meat
6,4156E+12;Sweetened beverages
5,01013E+12;Sweetened beverages
6,40783E+12;Poultry
7,3105E+12;Poultry
4,05649E+12;Poultry
4,05649E+12;Poultry
6,4063E+12;Poultry
6,41489E+12;Poultry
6,41489E+12;Poultry
4,05649E+12;Poultry
6,40781E+12;Poultry
6,40781E+12;Poultry
6,4091E+12;Poultry
6,40929E+12;Poultry
6,4094E+12;Poultry
6,41041E+12;Poultry
20287481;Poultry
4,05649E+12;Poultry
4,05649E+12;Poultry
5,70691E+12;Poultry
6,40586E+12;Poultry
6,4078E+12;Poultry
6,4078E+12;Poultry
6,40798E+12;Poultry
6,41489E+12;Poultry
6,42205E+11;Poultry
6,42205E+11;Poultry
6,43E+11;Poultry
4,05649E+12;Poultry
6,40586E+12;Poultry
6,46639E+12;Poultry
6,44064E+11;Poultry
2,37721E+12;Poultry
6,4091E+12;Poultry
14113712;Poultry
2,39129E+12;Poultry
4,05649E+12;Poultry
4,05649E+12;Poultry
4,05649E+12;Poultry
4,05649E+12;Poultry
6,40586E+12;Poultry
6,4078E+12;Poultry
6,4091E+12;Poultry
6,4094E+12;Poultry
20044466;Poultry
4,05649E+12;Poultry
6,4078E+12;Poultry
6,41571E+12;Poultry
5,7072E+12;Poultry
6,4091E+12;Poultry
6,40781E+12;Poultry
4,05649E+12;Poultry
20887315;Poultry
6,40586E+12;Poultry
6,40586E+12;Poultry
6,40781E+12;Poultry
6,40788E+12;Poultry
6,4094E+12;Poultry
4,05649E+12;Poultry
8,85898E+12;Poultry
20039769;Poultry
4,05649E+12;Poultry
6,4091E+12;Poultry
6,41489E+12;Poultry
6,4058E+12;Poultry
6,40586E+12;Poultry
6,4091E+12;Poultry
6,4091E+12;Poultry
6,41041E+12;Poultry
6,41041E+12;Poultry
20345846;Poultry
4,05649E+12;Poultry
6,40772E+12;Poultry
6,40586E+12;Poultry
6,4091E+12;Poultry
6,4091E+12;Poultry
6,4091E+12;Poultry
2,0002E+12;Poultry
2,38775E+12;Pork
5,7059E+12;Pork
5,7059E+12;Pork
6,40905E+12;Pork
2,35868E+12;Pork
2,36305E+12;Pork
2,36308E+12;Pork
2,39253E+12;Pork
4,05649E+12;Pork
4,05649E+12;Pork
6,40524E+12;Pork
6,4078E+12;Pork
6,40782E+12;Pork
6,40788E+12;Pork
6,4078E+12;Pork
2,38646E+12;Pork
2,37805E+12;Pork
2,39627E+12;Pork
7,31144E+12;Plant-based milk substitutes
6,43008E+12;Plant-based milk substitutes
5,70198E+12;Plant-based milk substitutes
6,41572E+12;Fruit nectars
8,7192E+12;Fats
8,7121E+12;Fats
6,41489E+12;Fats
6,41041E+12;Fats
6,41489E+12;Fats
8,7192E+12;Fats
6,40843E+12;Fats
8,7192E+12;Fats
6,4112E+12;Fats
6,4112E+12;Fats
7,32255E+12;Dressings and sauces
8,7141E+12;Dressings and sauces
20134747;Cream cheese
20134778;Cream cheese
20134792;Cream cheese
6,41041E+12;Cream cheese
4,74014E+12;Cream cheese
4,74014E+12;Cream cheese
6,41041E+12;Cream cheese
6,41489E+12;Cream cheese
6,41489E+12;Cream cheese
