,code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_1kg
0,16229916411,"Foco, 100% pure coconut water with mango",500 ml,,"Foco,Thai-agri-foods-co-ltd","Plant-based foods and beverages,Beverages,Plant-based beverages,Coconut waters",,,"Finland,United States",b,Beverages,Unsweetened beverages,"Beverages,Unsweetened beverages",,,Coconut waters,0.55
1,640295013004,Paprika original Chips,,,Zweifel,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps",,,"Finland,World",unknown,Salty snacks,Appetizers,"Salty snacks,Appetizers",,,Crisps,2.1
2,644504010013,Toblerone,,,,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates",,,"Finland,France,United Kingdom",unknown,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,unknown,Chocolates,2.95
3,20043032,Easter Egg Mix,,,Fresh-easy,"Meals,Soups",,,"Finland,United States",e,Composite foods,One-dish meals,"Composite foods,One-dish meals",,,Soups,2.95
4,20246297,Butter Fudge toffee,150 g,,hatherwood,"Snacks,Sweet snacks,Confectioneries,Caramels,Fudge,Salted butter caramels",,,"Finland,France",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Salted butter caramels,2.95
5,20575557,Medium egg noodles,250 g,,Combino,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Noodles,Egg pastas,Egg noodles",,,"Finland,France,United Kingdom",c,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,unknown,Egg noodles,2.65
6,20683191,Cookie brownie,8 x 30 g,,Mcennedy,"Snacks,Sweet snacks,Biscuits and cakes",,,"Finland,France,Spain",e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Biscuits and cakes,2.5
7,20886561,Sweet liquorice lakritsijäätelö,68 g,,Lidl,"Snacks,Desserts,Sweet snacks,Confectioneries,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream bars,fi:lakritsijäätelöpuikot",,,"Finland,Norway",e,Milk and dairy products,Ice cream,"Milk and dairy products,Ice cream",,,fi:lakritsijäätelöpuikot,2.6
8,2244429002698,,,,Albert Heijn,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,Netherlands",b,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Breads,2.5
9,2244898002793,AH Vloerbrood meergranen,,,Albert Heijn,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,Netherlands",a,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Breads,2.5
