,code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
7436,4740113034276,Koorene joghurt mustikatega,,,Farmi,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,,"Estonia,Finland",c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
7437,4740113034283,Koorene joghurt mustade kirssidega,,,Farmi,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts",,,"Estonia,Finland",c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Fruit yogurts,,
7554,4056489109594,Ranskankerma 30%,100 gram,,milbona,"Dairies,Creams",,,"Belgium,Finland,Netherlands",d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",70.0,b,Creams,,
7566,6408430021024,Valiojogurtti,,,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,,"Finland,France",b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",67.0,b,Yogurts,,
7627,7392672000697,Turkish yoghourt naturell laktosfri,,,Salakis,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,,"Finland,France",c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",67.0,b,Yogurts,,
7628,7392672004459,"Grekisk yoghurt, laktosfri",,,Salakis,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts",,,"Finland,Sweden",a,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",67.0,b,Greek-style yogurts,,
7635,8718166007635,Protein Mango Pouch Yogurt,200 g,,Arla,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,,"Finland,United Kingdom,United States",a,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",67.0,b,Yogurts,,
7649,6414893095847,Vaniljajogurtti,150g,,Rainbow,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Vanilla yogurt","Finland,Sweden",,"Finland,France",c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",83.0,a,Vanilla yogurt,,
7666,6408430000258,Eila laktoositon kevytmaitojuoma,1 L,,Valio,"Dairies,Milks (liquid and powder),Milks",Finland,,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",52.0,c,Milks,,
7669,6410405218872,Kreikkalainen jougurtti,1 kg,,Pirkka,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Plain fermented dairy desserts,Plain yogurts,Greek-style yogurts,Plain-greek-style-yogurts",European Union,,Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",68.0,b,Plain-greek-style-yogurts,,
